x,y,actual_cluster
0.268200801,0.156183618,3
0.246987876,0.235359829,3
0.288534171,0.164135922,3
0.245849405,0.160948952,3
0.225325417,0.230486368,3
0.289433931,0.177646448,3
0.232674764,0.161227412,3
0.23989163,0.156404166,3
0.232795232,0.212575881,3
0.239215321,0.15330663,3
0.27618665,0.170797122,3
0.255285076,0.191467113,3
0.288276943,0.237023583,3
0.225481004,0.173460014,3
0.23155545,0.205049358,3
0.219625578,0.216269347,3
0.214675148,0.174493237,3
0.239075399,0.227651306,3
0.245035143,0.228262332,3
0.213481641,0.227582223,3
0.222343377,0.229250762,3
0.288463324,0.175200622,3
0.235686169,0.24111785,3
0.212993348,0.180577825,3
0.288457663,0.166600381,3
0.29855113,0.199560951,3
0.280775057,0.201093237,3
0.297947832,0.204320305,3
0.295191936,0.220319683,3
0.24259982,0.245367983,3
0.283425684,0.231524411,3
0.261007861,0.191439937,3
0.278440688,0.223139693,3
0.222894419,0.21594721,3
0.270669314,0.177831178,3
0.269961296,0.235173358,3
0.304421515,0.173994609,3
0.261993005,0.182901627,3
0.283324705,0.155387299,3
0.21560842,0.182852475,3
0.272145361,0.163875091,3
0.273068127,0.224095428,3
0.261941748,0.224748414,3
0.297772062,0.179481979,3
0.259334171,0.22747066,3
0.241682747,0.158637787,3
0.301468328,0.233649253,3
0.246003682,0.155100489,3
0.233292588,0.177898674,3
0.246021364,0.210215613,3
0.303279412,0.158471021,3
0.297053592,0.228707323,3
0.29254752,0.174052881,3
0.29729096,0.166479682,3
0.216089047,0.218277804,3
0.213170646,0.185346349,3
0.250078783,0.187152494,3
0.227974142,0.163149596,3
0.265816115,0.23051737,3
0.238508258,0.174124935,3
0.248565964,0.176784719,3
0.244927148,0.181436713,3
0.271296506,0.240500028,3
0.280626974,0.198931008,3
0.303475013,0.180185879,3
0.246140314,0.153740708,3
0.304026387,0.242313802,3
0.304557909,0.159603687,3
0.255447297,0.195967917,3
0.231287641,0.244149288,3
0.23654784,0.167258964,3
0.249094684,0.200232175,3
0.265004043,0.155322404,3
0.259805443,0.174392942,3
0.263016277,0.171841436,3
0.218644829,0.24024566,3
0.214889163,0.184290087,3
0.28615799,0.182476152,3
0.287646673,0.190995321,3
0.235216099,0.188338522,3
0.254726741,0.231818241,3
0.285557147,0.162847221,3
0.284107351,0.241830087,3
0.212358356,0.211959782,3
0.21364194,0.222577531,3
0.254261566,0.167556494,3
0.220112716,0.198796204,3
0.249156517,0.241302554,3
0.264914673,0.210232746,3
0.244297844,0.209571056,3
0.254123239,0.242929599,3
0.246209265,0.153317556,3
0.238300144,0.182349748,3
0.295483981,0.220393916,3
0.258120822,0.172582572,3
0.227095325,0.177031324,3
0.280155009,0.179231579,3
0.26982415,0.199641414,3
0.302730288,0.178637848,3
0.256900418,0.231632541,3
0.255768879,0.153532336,3
0.232871657,0.169787197,3
0.258508642,0.219058789,3
0.299655363,0.197531257,3
0.281350289,0.168522446,3
0.284086809,0.166199797,3
0.219694062,0.220386488,3
0.297685292,0.226292602,3
